,City A,City B,Total_flights_AC_1,Total_flights_AC_2,Total_flights_AC_3,Direct_pax,Transfering_pax,Total pax,Total flights
93,Frankfurt,Brussels,2.0,0.0,0.0,112.0,0,112.0,2.0
94,Munich,Brussels,2.0,0.0,0.0,112.0,0,112.0,2.0
95,Berlin,Brussels,2.0,0.0,0.0,112.0,0,112.0,2.0
107,Paris,Brussels,2.0,2.0,0.0,352.0,0,352.0,4.0
108,Brussels,Lille,2.0,0.0,0.0,112.0,0,112.0,2.0
110,Rome,Brussels,0.0,2.0,0.0,132.0,108,240.0,2.0
122,Munich,Frankfurt,2.0,0.0,0.0,112.0,0,112.0,2.0
123,Berlin,Frankfurt,2.0,0.0,0.0,112.0,0,112.0,2.0
135,Paris,Frankfurt,1.0,2.0,0.0,296.0,0,296.0,3.0
136,Frankfurt,Lille,2.0,0.0,0.0,112.0,0,112.0,2.0
138,Rome,Frankfurt,0.0,2.0,0.0,157.0,83,240.0,2.0
150,Berlin,Munich,2.0,0.0,0.0,112.0,0,112.0,2.0
162,Munich,Paris,0.0,2.0,0.0,240.0,0,240.0,2.0
165,Rome,Munich,1.0,3.0,0.0,163.0,253,416.0,4.0
166,Munich,Parague,2.0,0.0,0.0,112.0,0,112.0,2.0
183,Berlin,Stockholm,2.0,0.0,0.0,112.0,0,112.0,2.0
188,Berlin,Paris,0.0,2.0,0.0,240.0,0,240.0,2.0
189,Berlin,Lille,2.0,0.0,0.0,112.0,0,112.0,2.0
191,Rome,Berlin,0.0,3.0,0.0,206.0,154,360.0,3.0
192,Berlin,Parague,2.0,0.0,0.0,112.0,0,112.0,2.0
216,Rome,Tallinn,2.0,0.0,0.0,51.0,61,112.0,2.0
232,Helsinki,Stockholm,2.0,0.0,0.0,112.0,0,112.0,2.0
240,Rome,Helsinki,0.0,2.0,0.0,114.0,126,240.0,2.0
303,Paris,Eindhoven,2.0,0.0,0.0,112.0,0,112.0,2.0
306,Rome,Eindhoven,2.0,0.0,0.0,47.0,65,112.0,2.0
323,Paris,Dublin,0.0,2.0,0.0,240.0,0,240.0,2.0
326,Rome,Dublin,0.0,2.0,0.0,120.0,120,240.0,2.0
342,Paris,Stockholm,0.0,2.0,0.0,237.0,0,237.0,2.0
345,Rome,Stockholm,0.0,2.0,0.0,132.0,108,240.0,2.0
363,Rome,Cape town,0.0,0.0,2.0,88.0,424,512.0,2.0
380,Rome,New York,0.0,0.0,4.0,289.0,735,1024.0,4.0
384,Mexico city,New York,0.0,0.0,2.0,512.0,0,512.0,2.0
396,Rome,Zagreb,0.0,2.0,0.0,83.0,157,240.0,2.0
408,Paris,Madrid,0.0,2.0,0.0,240.0,0,240.0,2.0
411,Rome,Madrid,0.0,10.0,2.0,200.0,1512,1712.0,12.0
413,Madrid,Lisbon,2.0,0.0,0.0,112.0,0,112.0,2.0
423,Paris,Lille,5.0,0.0,0.0,276.0,0,276.0,5.0
425,Rome,Paris,0.0,4.0,0.0,370.0,110,480.0,4.0
426,Paris,Parague,3.0,0.0,0.0,168.0,0,168.0,3.0
438,Rome,Lille,2.0,0.0,0.0,99.0,13,112.0,2.0
450,Rome,Athens,0.0,8.0,0.0,152.0,808,960.0,8.0
453,Instabul,Athens,0.0,2.0,0.0,240.0,0,240.0,2.0
462,Rome,Parague,0.0,2.0,0.0,115.0,125,240.0,2.0
463,Rome,Lisbon,0.0,4.0,2.0,106.0,886,992.0,6.0
464,Rome,Instabul,0.0,14.0,0.0,274.0,1406,1680.0,14.0
465,Rome,Mexico city,0.0,0.0,2.0,194.0,318,512.0,2.0
466,Rome,Dubai,0.0,0.0,2.0,116.0,396,512.0,2.0
467,Rome,Tokyo,0.0,0.0,4.0,302.0,722,1024.0,4.0
468,Rome,Buenos Aires,0.0,0.0,4.0,126.0,898,1024.0,4.0
469,Rome,Rio de Janeiro,0.0,0.0,6.0,159.0,1377,1536.0,6.0
470,Rome,New Delhi,0.0,2.0,2.0,272.0,480,752.0,4.0
471,Rome,Beijing,0.0,0.0,4.0,201.0,823,1024.0,4.0
472,Rome,Shanghai,0.0,0.0,4.0,240.0,784,1024.0,4.0
516,Tokyo,Beijing,0.0,1.0,2.0,632.0,0,632.0,3.0
517,Tokyo,Shanghai,0.0,3.0,2.0,872.0,0,872.0,5.0
527,Shanghai,Beijing,0.0,1.0,2.0,632.0,0,632.0,3.0
