,A330,A340,B737,B738,Total
SAEZ,0.0,0.0,0.0,0.0,0.0
LIRF,0.0,0.0,3.0,8.0,11.0
LIMF,0.0,0.0,0.0,0.0,0.0
BIKF,0.0,0.0,0.0,0.0,0.0
EDDB,0.0,0.0,0.0,1.0,1.0
EETN,0.0,0.0,0.0,0.0,0.0
CYYZ,0.0,0.0,0.0,1.0,1.0
LTFM,0.0,0.0,0.0,1.0,1.0
KJFK,0.0,0.0,0.0,0.0,0.0
LFQQ,0.0,0.0,0.0,0.0,0.0
LPPT,0.0,0.0,0.0,0.0,0.0
EIDW,0.0,0.0,1.0,2.0,3.0
ZSPD,0.0,0.0,0.0,0.0,0.0
CYVR,0.0,0.0,0.0,0.0,0.0
RJAA,0.0,0.0,0.0,0.0,0.0
EFRO,0.0,0.0,0.0,0.0,0.0
EDDM,0.0,0.0,0.0,0.0,0.0
LFPG,0.0,0.0,0.0,1.0,1.0
ESSA,0.0,0.0,0.0,0.0,0.0
MMMX,0.0,0.0,0.0,0.0,0.0
SBGL,0.0,0.0,0.0,0.0,0.0
ZBAA,0.0,0.0,0.0,0.0,0.0
EDDF,0.0,0.0,0.0,0.0,0.0
EHEH,0.0,0.0,0.0,0.0,0.0
VIDP,0.0,0.0,0.0,0.0,0.0
LKPR,0.0,0.0,0.0,0.0,0.0
EBBR,0.0,0.0,0.0,0.0,0.0
LDZA,0.0,0.0,0.0,0.0,0.0
LEMD,0.0,0.0,0.0,1.0,1.0
FACT,0.0,0.0,0.0,1.0,1.0
LGAV,0.0,0.0,0.0,0.0,0.0
EFHK,0.0,0.0,0.0,0.0,0.0
OMDB,0.0,0.0,0.0,0.0,0.0
